keyword	Tf	Idf	Tf*Idf	sqrt(Tf)*Idf
schema	5.0	9.09296675499	45.464833775	20.3324917813
modernizr	3.0	13.2312239322	39.6936717966	22.9171520969
javascript	4.0	8.5605565056	34.2422260224	17.1211130112
canvas	4.0	8.55968715159	34.2387486064	17.1193743032
span	4.0	8.36163053976	33.446522159	16.7232610795
text	5.0	6.44830414921	32.241520746	14.4188464172
html	5.0	6.37230044602	31.8615022301	14.2488969704
web pages	3.0	8.61463532991	25.8439059897	14.9209860801
html features	3.0	8.47329986559	25.4198995968	14.676185875
doctype	2.0	12.6263143145	25.252628629	17.8563049464
web developers	3.0	8.37195813076	25.1158743923	14.5006568413
microdata	2.0	12.1076593972	24.2153187944	17.1228161281
gradients	2.0	9.91329128866	19.8265825773	14.0195109882
div	2.0	9.81544378098	19.630887562	13.8811337158
field	3.0	6.54141096715	19.6242329015	11.3300561483
garage door	2.0	9.79030270216	19.5806054043	13.8455788611
search results	2.0	9.41649957787	18.8329991557	13.3169414131
code	3.0	6.17067494843	18.5120248453	10.6879225277
cookies	2.0	8.92965325992	17.8593065198	12.6284367475
blind	2.0	8.23128642745	16.4625728549	11.6407969015
browsers	2.0	8.03505754708	16.0701150942	11.3632873575
susan reed	1.0	15.9368818789	15.9368818789	15.9368818789
robots	2.0	7.93483621177	15.8696724235	11.2215529859
script	2.0	7.34566652619	14.6913330524	10.388341226
canvas api	1.0	14.4806191019	14.4806191019	14.4806191019
boss	1.0	14.3553833494	14.3553833494	14.3553833494
search engines	2.0	7.15512685134	14.3102537027	10.1188774337
generic information	1.0	14.2689470642	14.2689470642	14.2689470642
draw images	1.0	14.1130262385	14.1130262385	14.1130262385
doctype html	1.0	14.0708581286	14.0708581286	14.0708581286
drawing shapes	1.0	14.0317696302	14.0317696302	14.0317696302
bandwidth	1.0	13.9154180443	13.9154180443	13.9154180443
visual clue	1.0	13.8610587175	13.8610587175	13.8610587175
box	2.0	6.73657995071	13.4731599014	9.5269627303
js applications	1.0	13.370171384	13.370171384	13.370171384
orgproduct	1.0	13.351472596	13.351472596	13.351472596
machines	2.0	6.66150128008	13.3230025602	9.42078545605
webm	1.0	13.1303751172	13.1303751172	13.1303751172
draw	1.0	13.1115491334	13.1115491334	13.1115491334
html website	1.0	13.0992683278	13.0992683278	13.0992683278
overhead door	1.0	12.9928094433	12.9928094433	12.9928094433
object	2.0	6.42095045485	12.8419009097	9.08059521657
user clicks	1.0	12.4907828017	12.4907828017	12.4907828017
quick note	1.0	12.4241961915	12.4241961915	12.4241961915
ip address	1.0	12.4204513329	12.4204513329	12.4204513329
browser supports	1.0	12.3788554895	12.3788554895	12.3788554895
snipes	1.0	12.3298614159	12.3298614159	12.3298614159
files	2.0	6.15850974033	12.3170194807	8.70944799878
photograph	1.0	12.2992920992	12.2992920992	12.2992920992
order	2.0	6.08283493497	12.1656698699	8.60242766271
webworker	1.0	12.1035600939	12.1035600939	12.1035600939
javascript library	1.0	12.071013303	12.071013303	12.071013303
location	2.0	6.02041361837	12.0408272367	8.51415059019
ogg	1.0	12.035252516	12.035252516	12.035252516
schemaorg	1.0	12.0220219676	12.0220219676	12.0220219676
timestamps	1.0	11.9792940372	11.9792940372	11.9792940372
alternative options	1.0	11.9537836912	11.9537836912	11.9537836912
search boxes	1.0	11.9041642951	11.9041642951	11.9041642951
cascading style sheets	1.0	11.8369389175	11.8369389175	11.8369389175
page content	1.0	11.7891804162	11.7891804162	11.7891804162
specific type	1.0	11.7580477368	11.7580477368	11.7580477368
web addresses	1.0	11.6460277255	11.6460277255	11.6460277255
newvideo	1.0	11.1823476084	11.1823476084	11.1823476084
footer	1.0	11.0311692619	11.0311692619	11.0311692619
telephone numbers	1.0	10.7777329312	10.7777329312	10.7777329312
own website	1.0	10.7771556216	10.7771556216	10.7771556216
cursor	1.0	10.7480698378	10.7480698378	10.7480698378
relevant information	1.0	10.7027964985	10.7027964985	10.7027964985
technical details	1.0	10.5050924019	10.5050924019	10.5050924019
booleans	1.0	10.4644372734	10.4644372734	10.4644372734
html 5	1.0	10.4545898061	10.4545898061	10.4545898061
html 5.you	1.0	10.45324056	10.45324056	10.45324056
latest version	1.0	10.3067188522	10.3067188522	10.3067188522
htmlcode	1.0	10.2573115948	10.2573115948	10.2573115948
longitude	1.0	10.2071619319	10.2071619319	10.2071619319
datetime stamps	1.0	10.1478105468	10.1478105468	10.1478105468
business information	1.0	10.0394226741	10.0394226741	10.0394226741
span  website	1.0	10.0388429772	10.0388429772	10.0388429772
albany	1.0	10.0355057966	10.0355057966	10.0355057966
markup	1.0	10.0207339727	10.0207339727	10.0207339727
sliders	1.0	9.94218232267	9.94218232267	9.94218232267
spinboxes	1.0	9.90368660786	9.90368660786	9.90368660786
internet connection	1.0	9.82391847931	9.82391847931	9.82391847931
showmap	1.0	9.8208674881	9.8208674881	9.8208674881
your browser	1.0	9.80939890996	9.80939890996	9.80939890996
rectangle	1.0	9.77000288652	9.77000288652	9.77000288652
model   span	1.0	9.74916143848	9.74916143848	9.74916143848
nav	1.0	9.74545188138	9.74545188138	9.74545188138
web server	1.0	9.69328839441	9.69328839441	9.69328839441
signage	1.0	9.66944873068	9.66944873068	9.66944873068
product description	1.0	9.66329469177	9.66329469177	9.66329469177
slogan	1.0	9.61571156947	9.61571156947	9.61571156947
latitude	1.0	9.50943353527	9.50943353527	9.50943353527
determines	1.0	9.50460764615	9.50460764615	9.50460764615
extra bandwidth	1.0	9.42900591661	9.42900591661	9.42900591661
header	1.0	9.41965989354	9.41965989354	9.41965989354
user misses	1.0	9.41887588577	9.41887588577	9.41887588577
internet explorer	1.0	9.39574334949	9.39574334949	9.39574334949
boolean properties	1.0	9.39296415373	9.39296415373	9.39296415373
email addresses	1.0	9.35226367634	9.35226367634	9.35226367634
jpg	1.0	9.13718896261	9.13718896261	9.13718896261
html  step	1.0	9.03046957786	9.03046957786	9.03046957786
company motto	1.0	9.01809853638	9.01809853638	9.01809853638
placeholder text	1.0	9.01495513653	9.01495513653	9.01495513653
aac audio	1.0	8.99605057655	8.99605057655	8.99605057655
getcontext	1.0	8.94790825494	8.94790825494	8.94790825494
false	1.0	8.84127733469	8.84127733469	8.84127733469
end users	1.0	8.71066904249	8.71066904249	8.71066904249
html5	1.0	8.50228031516	8.50228031516	8.50228031516
satellites	1.0	8.31733310336	8.31733310336	8.31733310336
browser history	1.0	8.21917041975	8.21917041975	8.21917041975
getelementbyid	1.0	8.19222580479	8.19222580479	8.19222580479
mp	1.0	8.10166607052	8.10166607052	8.10166607052
input field	1.0	8.03668669104	8.03668669104	8.03668669104
page download	1.0	7.86513189101	7.86513189101	7.86513189101
slideshow	1.0	7.82335950931	7.82335950931	7.82335950931
input	1.0	7.69875125452	7.69875125452	7.69875125452
open source	1.0	7.53711863541	7.53711863541	7.53711863541
api	1.0	7.50920172142	7.50920172142	7.50920172142
variables	1.0	7.48432524643	7.48432524643	7.48432524643
easier	1.0	7.42425664348	7.42425664348	7.42425664348
truck	1.0	7.38025501357	7.38025501357	7.38025501357
detect	1.0	7.37642394369	7.37642394369	7.37642394369
similar	1.0	7.35290721454	7.35290721454	7.35290721454
paths	1.0	7.35101067434	7.35101067434	7.35101067434
tag	1.0	7.32039774	7.32039774	7.32039774
ability	1.0	7.29339009782	7.29339009782	7.29339009782
figuring	1.0	7.271770659	7.271770659	7.271770659
trip	1.0	7.26602984284	7.26602984284	7.26602984284
glass	1.0	7.10037599776	7.10037599776	7.10037599776
depends	1.0	7.07033527731	7.07033527731	7.07033527731
background	1.0	7.03550830454	7.03550830454	7.03550830454
hold	1.0	6.99145558865	6.99145558865	6.99145558865
mechanism	1.0	6.93268881082	6.93268881082	6.93268881082
true	1.0	6.90148707748	6.90148707748	6.90148707748
capability	1.0	6.89447213888	6.89447213888	6.89447213888
inside	1.0	6.85994459721	6.85994459721	6.85994459721
storage	1.0	6.7858216217	6.7858216217	6.7858216217
head	1.0	6.74118724399	6.74118724399	6.74118724399
transformations	1.0	6.7379076296	6.7379076296	6.7379076296
front	1.0	6.72735663664	6.72735663664	6.72735663664
server	1.0	6.69188586921	6.69188586921	6.69188586921
section	1.0	6.67070851968	6.67070851968	6.67070851968
audience	1.0	6.66809891884	6.66809891884	6.66809891884
seo	1.0	6.66350614024	6.66350614024	6.66350614024
dates	1.0	6.57956454794	6.57956454794	6.57956454794
van	1.0	6.54393124841	6.54393124841	6.54393124841
months	1.0	6.30682015899	6.30682015899	6.30682015899
format	1.0	6.26851291644	6.26851291644	6.26851291644
history	1.0	6.25299257512	6.25299257512	6.25299257512
humans	1.0	6.21050979174	6.21050979174	6.21050979174
collection	1.0	6.12543196559	6.12543196559	6.12543196559
article	1.0	6.07899943422	6.07899943422	6.07899943422
info	1.0	6.06561839645	6.06561839645	6.06561839645
